0000000001,1,0.7479386584681783, 
0000000002,2,0.04040888806771768,0000000001
0000000003,3,0.3053411662964527,0000000001
0000000004,4,0.9059237729054875,0000000003,0000000001,0000000002
0000000005,5,0.8917004879915693,0000000001,0000000004
0000000006,6,0.054246748226024384,0000000005,0000000001,0000000003,0000000004
0000000007,7,0.5593145707071393,0000000006,0000000005
0000000008,8,0.9137632273523932,0000000003,0000000002
0000000009,9,0.7095443332566553,0000000003,0000000002,0000000001
0000000010,10,0.09965114457965071,0000000009,0000000004
0000000011,11,0.47925081521470214,0000000009,0000000010,0000000004,0000000003
0000000012,12,0.9103672762660501,0000000001,0000000002,0000000006
0000000013,13,0.18917266714779707,0000000004,0000000001,0000000012
0000000014,14,0.5043947251743733,0000000012,0000000009,0000000008,0000000004
0000000015,15,0.5040801692125003,0000000001,0000000006,0000000005
0000000016,16,0.3473887955739236,0000000011,0000000002,0000000008
0000000017,17,0.23131728426826095,0000000006,0000000016,0000000012,0000000003
0000000018,18,0.9699403658684946,0000000016,0000000012,0000000007
0000000019,19,0.05777233546224225,0000000009,0000000014
0000000020,20,0.6179960743324424,0000000017,0000000007,0000000018
0000000021,21,0.8167673341830227,0000000015,0000000011,0000000002,0000000013
0000000022,22,0.14657912044320612, 
0000000023,23,0.3993443812245724,0000000006,0000000019,0000000016,0000000010
0000000024,24,0.0031118242295476305,0000000011,0000000016,0000000015,0000000003
0000000025,25,0.4582246129827845,0000000002,0000000003,0000000015
0000000026,26,0.8765434051726873,0000000015,0000000021,0000000019,0000000007
0000000027,27,0.9651338029177273,0000000007,0000000024,0000000011,0000000014
0000000028,28,0.8178971051588905,0000000002,0000000023,0000000010
0000000029,29,0.28722109727688694,0000000006,0000000001,0000000021
0000000030,30,0.52613438079012,0000000018,0000000028,0000000012,0000000015
0000000031,31,0.8074901367093517,0000000026,0000000005,0000000025,0000000008
0000000032,32,0.9670090756730993,0000000001,0000000017,0000000030,0000000005
0000000033,33,0.39576236968287715,0000000003,0000000024,0000000025,0000000001
0000000034,34,0.516607256544032,0000000012,0000000018,0000000005
0000000035,35,0.3217033799561326,0000000031,0000000027,0000000024,0000000026
0000000036,36,0.8286561750363143,0000000008,0000000032,0000000016,0000000017
0000000037,37,0.9130544732386018,0000000003,0000000034,0000000006,0000000017
0000000038,38,0.2045923587590958,0000000033,0000000024,0000000013,0000000030
0000000039,39,0.7465527419331155,0000000011,0000000008,0000000028,0000000029
0000000040,40,0.1051041756581806,0000000025,0000000028,0000000034,0000000021
0000000041,41,0.5648605849928904,0000000011,0000000010,0000000023,0000000003
0000000042,42,0.04144541520106672,0000000032,0000000022,0000000029,0000000033
0000000043,43,0.4746196725464995,0000000018,0000000040,0000000013,0000000005
0000000044,44,0.8978678787296477,0000000032,0000000014,0000000009,0000000040
0000000045,45,0.6589617869298976,0000000001,0000000009,0000000023,0000000003
0000000046,46,0.7837073295525664,0000000027,0000000024,0000000010,0000000044
0000000047,47,0.3996479557378695,0000000003,0000000020,0000000007,0000000037
0000000048,48,0.5831563045864173,0000000003,0000000011,0000000004,0000000033
0000000049,49,0.8924063369141257,0000000039,0000000005,0000000009
0000000050,50,0.4785675114947943,0000000042,0000000028,0000000034,0000000019
0000000051,51,0.38489859028111245,0000000003,0000000021,0000000022,0000000029
0000000052,52,0.19914978633527497,0000000020,0000000027,0000000032,0000000039
0000000053,53,0.007843971021924323,0000000017,0000000009,0000000023
0000000054,54,0.919833304758371,0000000046,0000000029,0000000023
0000000055,55,0.21358456299622822,0000000030,0000000021,0000000029,0000000040
0000000056,56,0.3324209039385127,0000000051,0000000012,0000000048,0000000023
0000000057,57,0.3478565507802993,0000000007,0000000003,0000000015,0000000046
0000000058,58,0.6283093164305947,0000000007,0000000006,0000000028
0000000059,59,0.774302958716479,0000000017,0000000031,0000000013,0000000049
0000000060,60,0.9615558081053045,0000000013,0000000010,0000000040
0000000061,61,0.3815573395513977,0000000027,0000000033,0000000053,0000000021
0000000062,62,0.010885181843876266,0000000041,0000000042,0000000037,0000000030
0000000063,63,0.6967662264490866,0000000055,0000000043,0000000032,0000000025
0000000064,64,0.8728171935055344,0000000033,0000000008,0000000007,0000000037
0000000065,65,0.36280424885712176, 
0000000066,66,0.2846324753681551,0000000017,0000000004,0000000052,0000000003
0000000067,67,0.4723017972021575,0000000010,0000000012,0000000047,0000000006
0000000068,68,0.7710698712542257,0000000049,0000000037,0000000061,0000000003
0000000069,69,0.9444706066704345,0000000057,0000000001,0000000005,0000000025
0000000070,70,0.3900343874657612,0000000026,0000000069,0000000015,0000000016
0000000071,71,0.12681257413139116,0000000065,0000000001,0000000067,0000000043
0000000072,72,0.6244392532476057,0000000062,0000000058,0000000044,0000000047
0000000073,73,0.2657719294527911,0000000064,0000000006,0000000030,0000000043
0000000074,74,0.37660766465372314,0000000034,0000000072,0000000012,0000000025
0000000075,75,0.46623680018469577,0000000014,0000000012,0000000069,0000000006
0000000076,76,0.345294610113635,0000000068,0000000019,0000000054,0000000042
0000000077,77,0.2533952153920292,0000000043,0000000023,0000000042,0000000040
0000000078,78,0.8508105693506627,0000000015,0000000040,0000000010,0000000047
0000000079,79,0.5693528036232326,0000000075,0000000013,0000000016,0000000053
0000000080,80,0.7154948493327437,0000000049,0000000037,0000000068,0000000077
0000000081,81,0.39181257844214584, 
0000000082,82,0.8182950412013729,0000000033,0000000047,0000000030,0000000042
0000000083,83,0.49297792946271707,0000000026,0000000069,0000000036,0000000048
0000000084,84,0.8259004530226008,0000000017,0000000063,0000000079
0000000085,85,0.8232682882294201,0000000083,0000000004,0000000049,0000000015
0000000086,86,0.04972607746544302, 
0000000087,87,0.565086199635144,0000000069,0000000044,0000000031,0000000086
0000000088,88,0.4030555895730497,0000000027,0000000023,0000000072,0000000008
0000000089,89,0.3469046887499152,0000000043,0000000067,0000000024,0000000084
0000000090,90,0.7410678933288324,0000000009,0000000040,0000000011,0000000019
0000000091,91,0.7236111413685611,0000000050,0000000014,0000000018,0000000056
0000000092,92,0.23436646394798735,0000000071,0000000049,0000000023,0000000056
0000000093,93,0.06901615049907615,0000000075,0000000021,0000000051,0000000033
0000000094,94,0.2288565156288073,0000000006,0000000066,0000000017,0000000011
0000000095,95,0.2744800298239597,0000000051,0000000042,0000000016,0000000040
0000000096,96,0.18883718020967935,0000000059,0000000051,0000000085,0000000068
0000000097,97,0.41624844340189654,0000000075,0000000025,0000000051,0000000068
0000000098,98,0.04349149164667598,0000000088,0000000057,0000000081
0000000099,99,0.38300177795592266,0000000031,0000000061,0000000060,0000000033
0000000100,100,0.13506556892801558,0000000090,0000000007,0000000026,0000000038
