rGrngzlsWbjUudKGfJbHsexXztINUxNMwlnEpZZc,1,0.7450562956172455, 
YQnkPkRPoZONQHtCCEeXazANfgaEobvLComzRbLf,2,0.2518785733325529, 
FIvzpWoMYIdJxBaJuwzwakTuJtlydfyaPUbsWdLE,3,0.9906932427178115, 
dXxTJOGtcCUweVNQJLedCORDTbfyBYgGRpACoRHM,4,0.20946911304659988,YQnkPkRPoZONQHtCCEeXazANfgaEobvLComzRbLf
aIlGqRUqOrIPmTxYogswWdwoZeJZCGlhcUcffvDU,5,0.11383513236773163,YQnkPkRPoZONQHtCCEeXazANfgaEobvLComzRbLf
zoviFNeXSTzRAMSZaagllljHAyqRwRRjXFwgbrxs,6,0.12065535549836016,FIvzpWoMYIdJxBaJuwzwakTuJtlydfyaPUbsWdLE
ImHhUrookngnxyTiYAlFbjKUBViloPszUYUnZfIM,7,0.7890620088340989,dXxTJOGtcCUweVNQJLedCORDTbfyBYgGRpACoRHM
LcVSAphIXmLfWBeykRVmcuEBqyDrgvIPOCYJEaih,8,0.31070519210673514,zoviFNeXSTzRAMSZaagllljHAyqRwRRjXFwgbrxs
TqkUElaggXNKLDPQACwfMDchWnMvcvGXmAuAkBvn,9,0.219420837954246,dXxTJOGtcCUweVNQJLedCORDTbfyBYgGRpACoRHM
LxcyqLLfDluiUJWtGoOBvlJaqbMalSjhVVOXYHcb,10,0.8194605816664392,TqkUElaggXNKLDPQACwfMDchWnMvcvGXmAuAkBvn
xKLmJDXaxftbOaSYcTpDpsGqYrRxqvvjotOXyCCH,11,0.08087855799972614,FIvzpWoMYIdJxBaJuwzwakTuJtlydfyaPUbsWdLE
ryThfqdKXElJbbatuDdGQyPEuxAGgVIqKoQnKYjj,12,0.9013833732417852,rGrngzlsWbjUudKGfJbHsexXztINUxNMwlnEpZZc
kcKDnMKDxlsfBaZIfvsAzCEBszYYDHebVipALsRJ,13,0.9361874838890459,dXxTJOGtcCUweVNQJLedCORDTbfyBYgGRpACoRHM
xhaKXICDGqANvGnwWDriWsCsGmYDqFzkCOmJuXxI,14,0.836601565336091,LcVSAphIXmLfWBeykRVmcuEBqyDrgvIPOCYJEaih
zzJmDIQBHAJJWyoSWsqMbinSKzTrDZIcsxqOrUHU,15,0.050801936902887854,aIlGqRUqOrIPmTxYogswWdwoZeJZCGlhcUcffvDU
